time, Epsilon_0, Epsilon_1, Epsilon_2, Epsilon_3, Epsilon_4, Epsilon_5, PEEQ, Rate_0, Rate_1, Rate_2, Rate_3, Rate_4, Rate_5
0, 0.00000e+00, 0.00000e+00, 0.00000e+00, 0.00000e+00, 0.00000e+00, 0.00000e+00, 0.00000e+00, 0.00000e+00, 0.00000e+00, 0.00000e+00, 0.00000e+00, 0.00000e+00, 0.00000e+00
0.0001, 0.00000e+00, 0.00000e+00, 0.00000e+00, -1.09798e-18, 1.27728e-18, 4.90228e-19, 4.17094e-18, 0.00000e+00, 0.00000e+00, 0.00000e+00, -1.09798e-14, 1.27728e-14, 4.90228e-15
0.0002, 3.58440e-14, -1.44311e-14, -2.14110e-14, -3.13181e-15, 3.62731e-15, 1.39786e-15, 3.95813e-14, 3.58440e-10, -1.44311e-10, -2.14110e-10, -3.13072e-11, 3.62603e-11, 1.39737e-11
0.0003, 3.43586e-12, -1.38412e-12, -2.05174e-12, -3.00071e-13, 3.47088e-13, 1.33901e-13, 3.79269e-12, 3.40002e-08, -1.36969e-08, -2.03033e-08, -2.96939e-09, 3.43460e-09, 1.32503e-09
0.0004, 8.54319e-11, -3.44170e-11, -5.10149e-11, -7.46588e-12, 8.63049e-12, 3.33071e-12, 9.43064e-11, 8.19961e-07, -3.30329e-07, -4.89632e-07, -7.16581e-08, 8.28341e-08, 3.19681e-08
0.0005, 1.02372e-09, -4.12434e-10, -6.11290e-10, -8.94856e-11, 1.03410e-10, 3.99127e-11, 1.13008e-09, 9.38292e-06, -3.78017e-06, -5.60275e-06, -8.20197e-07, 9.47797e-07, 3.65820e-07
0.0006, 7.75224e-09, -3.12338e-09, -4.62886e-09, -6.77689e-10, 7.82917e-10, 3.02206e-10, 8.55771e-09, 6.72851e-05, -2.71094e-05, -4.01757e-05, -5.88203e-06, 6.79506e-06, 2.62293e-06
0.0007, 4.28092e-08, -1.72497e-08, -2.55595e-08, -3.74250e-09, 4.32099e-09, 1.66879e-09, 4.72575e-08, 3.50569e-04, -1.41263e-04, -2.09306e-04, -3.06481e-05, 3.53807e-05, 1.36658e-05
0.0008, 1.87568e-07, -7.55995e-08, -1.11968e-07, -1.64022e-08, 1.89012e-08, 7.31606e-09, 2.07059e-07, 1.44759e-03, -5.83498e-04, -8.64087e-04, -1.26597e-04, 1.45802e-04, 5.64728e-05
0.0009, 6.87298e-07, -2.77214e-07, -4.10081e-07, -6.01676e-08, 6.89323e-08, 2.68750e-08, 7.58726e-07, 4.99730e-03, -2.01615e-03, -2.98113e-03, -4.37654e-04, 5.00311e-04, 1.95589e-04
0.001, 2.17560e-06, -8.79098e-07, -1.29649e-06, -1.91088e-07, 2.15520e-07, 8.56832e-08, 2.40175e-06, 1.48831e-02, -6.01884e-03, -8.86406e-03, -1.30920e-03, 1.46588e-03, 5.88082e-04
0.0011, 6.05212e-06, -2.45551e-06, -3.59647e-06, -5.36109e-07, 5.82589e-07, 2.42294e-07, 6.68140e-06, 3.87651e-02, -1.57641e-02, -2.29998e-02, -3.45021e-03, 3.67069e-03, 1.56610e-03
0.0012, 1.48708e-05, -6.08125e-06, -8.78875e-06, -1.34262e-06, 1.35124e-06, 6.13444e-07, 1.64174e-05, 8.81867e-02, -3.62574e-02, -5.19228e-02, -8.06513e-03, 7.68649e-03, 3.71150e-03
0.0013, 3.22416e-05, -1.33497e-05, -1.88884e-05, -3.01748e-06, 2.65510e-06, 1.38783e-06, 3.55924e-05, 1.73708e-01, -7.26841e-02, -1.00997e-01, -1.67486e-02, 1.30386e-02, 7.74391e-03
0.0014, 6.17778e-05, -2.59813e-05, -3.57849e-05, -6.10221e-06, 4.41893e-06, 2.78723e-06, 6.81781e-05, 2.95362e-01, -1.26317e-01, -1.68964e-01, -3.08473e-02, 1.76383e-02, 1.39940e-02
0.0015, 1.05567e-04, -4.51016e-05, -6.04348e-05, -1.11052e-05, 6.36027e-06, 4.96918e-06, 1.16429e-04, 4.37895e-01, -1.91203e-01, -2.46499e-01, -5.00303e-02, 1.94133e-02, 2.18195e-02
0.0016, 1.63324e-04, -7.07079e-05, -9.25479e-05, -1.82319e-05, 8.18587e-06, 7.94898e-06, 1.79948e-04, 5.77568e-01, -2.56062e-01, -3.21132e-01, -7.12666e-02, 1.82560e-02, 2.97980e-02
0.0017, 2.32786e-04, -1.01775e-04, -1.30880e-04, -2.72862e-05, 9.73008e-06, 1.16060e-05, 2.56158e-04, 6.94615e-01, -3.10669e-01, -3.83325e-01, -9.05428e-02, 1.54422e-02, 3.65700e-02
0.0018, 3.10898e-04, -1.36849e-04, -1.73827e-04, -3.78453e-05, 1.09426e-05, 1.57512e-05, 3.41642e-04, 7.81127e-01, -3.50746e-01, -4.29463e-01, -1.05591e-01, 1.21255e-02, 4.14522e-02
0.0019, 3.94876e-04, -1.74606e-04, -2.19923e-04, -4.94734e-05, 1.18334e-05, 2.01972e-05, 4.33316e-04, 8.39773e-01, -3.77562e-01, -4.60966e-01, -1.16281e-01, 8.90771e-03, 4.44601e-02
0.002, 4.82649e-04, -2.14075e-04, -2.68068e-04, -6.18176e-05, 1.24377e-05, 2.47960e-05, 5.28906e-04, 8.77735e-01, -3.94698e-01, -4.81449e-01, -1.23442e-01, 6.04249e-03, 4.59875e-02
0.0021, 5.72853e-04, -2.54635e-04, -3.17519e-04, -7.46163e-05, 1.27990e-05, 2.94461e-05, 6.26922e-04, 9.02042e-01, -4.05601e-01, -4.94506e-01, -1.27988e-01, 3.61318e-03, 4.65015e-02
0.0022, 6.64640e-04, -2.95910e-04, -3.67803e-04, -8.76816e-05, 1.29603e-05, 3.40854e-05, 7.26447e-04, 9.17869e-01, -4.12747e-01, -5.02838e-01, -1.30652e-01, 1.61311e-03, 4.63924e-02
0.0023, 7.57495e-04, -3.37679e-04, -4.18625e-04, -1.00880e-04, 1.29592e-05, 3.86791e-05, 8.26931e-04, 9.28544e-01, -4.17686e-01, -5.08225e-01, -1.31985e-01, -1.04810e-05, 4.59375e-02
0.0024, 8.51102e-04, -3.79811e-04, -4.69802e-04, -1.14120e-04, 1.28265e-05, 4.32108e-05, 9.28046e-04, 9.36071e-01, -4.21319e-01, -5.11771e-01, -1.32398e-01, -1.32735e-03, 4.53165e-02
0.0025, 9.45264e-04, -4.22226e-04, -5.21216e-04, -1.27340e-04, 1.25859e-05, 4.76745e-05, 1.02959e-03, 9.41622e-01, -4.24150e-01, -5.14142e-01, -1.32198e-01, -2.40634e-03, 4.46377e-02
0.0026, 1.03985e-03, -4.64872e-04, -5.72791e-04, -1.40501e-04, 1.22552e-05, 5.20708e-05, 1.13145e-03, 9.45881e-01, -4.26463e-01, -5.15741e-01, -1.31610e-01, -3.30651e-03, 4.39627e-02
0.0027, 1.13478e-03, -5.07713e-04, -6.24472e-04, -1.53580e-04, 1.18478e-05, 5.64031e-05, 1.23353e-03, 9.49254e-01, -4.28414e-01, -5.16816e-01, -1.30795e-01, -4.07416e-03, 4.33229e-02
0.0028, 1.22998e-03, -5.50723e-04, -6.76224e-04, -1.66566e-04, 1.13735e-05, 6.06763e-05, 1.33579e-03, 9.51991e-01, -4.30098e-01, -5.17522e-01, -1.29860e-01, -4.74330e-03, 4.27317e-02
0.0029, 1.32540e-03, -5.93880e-04, -7.28021e-04, -1.79454e-04, 1.08397e-05, 6.48954e-05, 1.43818e-03, 9.54251e-01, -4.31571e-01, -5.17964e-01, -1.28875e-01, -5.33754e-03, 4.21910e-02
0.003, 1.42102e-03, -6.37167e-04, -7.79842e-04, -1.92242e-04, 1.02525e-05, 6.90650e-05, 1.54067e-03, 9.56143e-01, -4.32871e-01, -5.18211e-01, -1.27881e-01, -5.87236e-03, 4.16967e-02
