TimeStep Time Epsilon_xx Epsilon_yy Epsilon_zz Epsilon_yz Epsilon_xz Epsilon_xy Sigma_xx Sigma_yy Sigma_zz Sigma_yz Sigma_xz Sigma_xy Mises Pressure Norm
0 0 1.19316e-16 9.32512e-17 1.02556e-16 1.3787e-16 1.20798e-16 -3.40564e-17 -6.07122e-05 -5.70618e-05 -5.86952e-05 -9.28878e-06 -7.87757e-06 2.75857e-06 2.18603e-05 5.8823e-05 0.000103436
10 0.01 0.0001 -3.47321e-05 -3.68307e-05 -1.23144e-06 -5.50661e-07 -5.02155e-07 1.59262e+07 82.3584 2918.64 648.401 -651.736 -585.456 1.59247e+07 -5.30974e+06 1.59262e+07
20 0.02 0.0002 -6.94612e-05 -7.36689e-05 -2.47281e-06 -1.09524e-06 -9.98654e-07 3.18496e+07 82.8755 2917.64 648.416 -651.259 -585.405 3.18481e+07 -1.06175e+07 3.18496e+07
30 0.03 0.0003 -0.000104191 -0.000110507 -3.71423e-06 -1.6405e-06 -1.49547e-06 4.77734e+07 83.3358 2916.7 648.449 -650.777 -585.357 4.77719e+07 -1.59255e+07 4.77734e+07
40 0.04 0.0004 -0.000138921 -0.000147345 -4.9557e-06 -2.18643e-06 -1.9926e-06 6.36976e+07 83.7803 2915.76 648.485 -650.295 -585.31 6.36961e+07 -2.12335e+07 6.36976e+07
50 0.05 0.0005 -0.000173652 -0.000184183 -6.19722e-06 -2.73295e-06 -2.49009e-06 7.9622e+07 84.2183 2914.85 648.526 -649.818 -585.269 7.96205e+07 -2.65417e+07 7.9622e+07
60 0.06 0.0006 -0.000208385 -0.000221022 -7.43887e-06 -3.27951e-06 -2.98814e-06 9.55458e+07 84.661 2914 648.585 -649.373 -585.265 9.55443e+07 -3.18496e+07 9.55458e+07
70 0.07 0.0007 -0.00024312 -0.000257868 -8.68095e-06 -3.82363e-06 -3.48771e-06 1.11465e+08 85.1382 2913.43 648.715 -649.061 -585.41 1.11464e+08 -3.71561e+07 1.11465e+08
80 0.08 0.0008 -0.000277863 -0.000294737 -9.92458e-06 -4.35639e-06 -3.99226e-06 1.27367e+08 85.7441 2913.82 649.09 -649.198 -586.061 1.27366e+08 -4.24568e+07 1.27367e+08
90 0.09 0.0009 -0.000312633 -0.000331684 -1.11732e-05 -4.85106e-06 -4.5119e-06 1.43211e+08 86.7427 2916.86 650.173 -650.601 -588.147 1.4321e+08 -4.7738e+07 1.43211e+08
100 0.1 0.001 -0.000347475 -0.000368847 -1.24368e-05 -5.24034e-06 -5.07079e-06 1.58892e+08 88.8519 2926.17 653.084 -655.05 -593.733 1.58891e+08 -5.29651e+07 1.58892e+08
110 0.11 0.0011 -0.000382494 -0.000406527 -1.37426e-05 -5.38539e-06 -5.71042e-06 1.74181e+08 94.0005 2947.2 660.244 -665.547 -606.541 1.7418e+08 -5.80615e+07 1.74181e+08
120 0.12 0.0012 -0.000417894 -0.000445254 -1.51672e-05 -5.07326e-06 -6.45685e-06 1.88661e+08 106.883 2983.18 676.062 -685.245 -631.366 1.8866e+08 -6.28881e+07 1.88661e+08
130 0.13 0.0013 -0.000453993 -0.00048573 -1.69054e-05 -4.11308e-06 -7.20325e-06 2.0175e+08 135.421 3026.81 705.837 -714.167 -670.968 2.01749e+08 -6.72511e+07 2.0175e+08
140 0.14 0.0014 -0.000491167 -0.000528574 -1.93395e-05 -2.50288e-06 -7.56735e-06 2.12882e+08 185.498 3059.74 750.318 -746.865 -721.937 2.1288e+08 -7.09616e+07 2.12882e+08
150 0.15 0.0015 -0.00052968 -0.000574051 -2.2958e-05 -4.5828e-07 -6.95936e-06 2.2175e+08 251.462 3069.88 802.791 -773.867 -774.112 2.21748e+08 -7.39178e+07 2.2175e+08
160 0.16 0.0016 -0.000569547 -0.000622003 -2.80872e-05 1.75341e-06 -4.91867e-06 2.28432e+08 318.366 3062.24 854.183 -788.833 -817.027 2.2843e+08 -7.61451e+07 2.28432e+08
170 0.17 0.0017 -0.000610559 -0.00067197 -3.47303e-05 3.94888e-06 -1.38014e-06 2.33304e+08 373.355 3050.18 900.078 -792.11 -846.391 2.33302e+08 -7.77692e+07 2.33304e+08
180 0.18 0.0018 -0.000652416 -0.000723396 -4.26672e-05 6.03192e-06 3.37857e-06 2.36851e+08 412.424 3042.45 939.402 -788.299 -864.016 2.36849e+08 -7.89514e+07 2.36851e+08
190 0.19 0.0019 -0.000694856 -0.000775784 -5.16122e-05 7.95482e-06 8.9573e-06 2.39503e+08 436.074 3042.65 967.317 -781.989 -873.624 2.39501e+08 -7.98354e+07 2.39503e+08
200 0.2 0.002 -0.000737694 -0.000828763 -6.13273e-05 9.69637e-06 1.4997e-05 2.41575e+08 452.369 3045.22 990.856 -776.016 -879.113 2.41573e+08 -8.05262e+07 2.41575e+08
210 0.21 0.0021 -0.000780816 -0.000882089 -7.1614e-05 1.12522e-05 2.12355e-05 2.43273e+08 463.943 3048.87 1007.98 -771.651 -882.544 2.43271e+08 -8.1092e+07 2.43273e+08
220 0.22 0.0022 -0.000824154 -0.000935606 -8.23192e-05 1.26288e-05 2.75014e-05 2.44722e+08 473.057 3052.14 1019.38 -769.265 -885.034 2.4472e+08 -8.15751e+07 2.44722e+08
230 0.23 0.0023 -0.000867667 -0.00098922 -9.33255e-05 1.3837e-05 3.36914e-05 2.45999e+08 480.8 3054.43 1025.98 -768.596 -887.198 2.45997e+08 -8.20008e+07 2.45999e+08
240 0.24 0.0024 -0.00091133 -0.00104288 -0.000104545 1.48897e-05 3.97472e-05 2.47151e+08 487.602 3055.64 1028.79 -769.371 -889.206 2.47149e+08 -8.23848e+07 2.47151e+08
250 0.25 0.0025 -0.000955124 -0.00109654 -0.000115913 1.57997e-05 4.56396e-05 2.48207e+08 493.569 3055.95 1028.76 -771.226 -891.11 2.48206e+08 -8.2737e+07 2.48207e+08
260 0.26 0.0026 -0.000999036 -0.00115018 -0.000127383 1.65781e-05 5.13571e-05 2.49188e+08 498.709 3055.6 1026.72 -773.825 -892.898 2.49186e+08 -8.30639e+07 2.49188e+08
270 0.27 0.0027 -0.00104305 -0.00120381 -0.000138923 1.72347e-05 5.68993e-05 2.50107e+08 503.026 3054.8 1023.32 -776.883 -894.549 2.50106e+08 -8.33703e+07 2.50107e+08
280 0.28 0.0028 -0.00108717 -0.00125739 -0.00015051 1.77781e-05 6.2272e-05 2.50975e+08 506.553 3053.72 1019.05 -780.176 -896.042 2.50974e+08 -8.36597e+07 2.50975e+08
290 0.29 0.0029 -0.00113137 -0.00131094 -0.000162126 1.82157e-05 6.74841e-05 2.518e+08 509.352 3052.47 1014.27 -783.541 -897.363 2.51798e+08 -8.39346e+07 2.518e+08
300 0.3 0.003 -0.00117565 -0.00136444 -0.000173761 1.85544e-05 7.2546e-05 2.52588e+08 511.502 3051.13 1009.23 -786.86 -898.506 2.52586e+08 -8.41972e+07 2.52588e+08
310 0.31 0.0031 -0.00122 -0.00141789 -0.000185406 1.88006e-05 7.74686e-05 2.53344e+08 513.086 3049.73 1004.09 -790.058 -899.472 2.53342e+08 -8.44493e+07 2.53344e+08
320 0.32 0.0032 -0.00126442 -0.0014713 -0.000197052 1.89605e-05 8.2262e-05 2.54073e+08 514.185 3048.31 998.974 -793.089 -900.264 2.54071e+08 -8.46922e+07 2.54073e+08
330 0.33 0.0033 -0.00130889 -0.00152466 -0.000208696 1.904e-05 8.69356e-05 2.54778e+08 514.872 3046.87 993.94 -795.93 -900.888 2.54776e+08 -8.49271e+07 2.54778e+08
340 0.34 0.0034 -0.00135343 -0.00157797 -0.000220331 1.90451e-05 9.14978e-05 2.55462e+08 515.21 3045.43 989.033 -798.574 -901.352 2.5546e+08 -8.51551e+07 2.55462e+08
350 0.35 0.0035 -0.00139801 -0.00163124 -0.000231954 1.89816e-05 9.59559e-05 2.56128e+08 515.255 3043.99 984.274 -801.024 -901.667 2.56126e+08 -8.5377e+07 2.56128e+08
360 0.36 0.0036 -0.00144264 -0.00168445 -0.000243561 1.88551e-05 0.000100316 2.56777e+08 515.054 3042.55 979.674 -803.292 -901.843 2.56775e+08 -8.55935e+07 2.56777e+08
370 0.37 0.0037 -0.00148732 -0.00173761 -0.000255149 1.86714e-05 0.000104584 2.57412e+08 514.649 3041.12 975.234 -805.391 -901.892 2.5741e+08 -8.58052e+07 2.57412e+08
380 0.38 0.0038 -0.00153204 -0.00179073 -0.000266714 1.84358e-05 0.000108765 2.58034e+08 514.075 3039.7 970.953 -807.338 -901.825 2.58032e+08 -8.60126e+07 2.58034e+08
390 0.39 0.0039 -0.0015768 -0.0018438 -0.000278255 1.81538e-05 0.000112862 2.58645e+08 513.362 3038.28 966.826 -809.148 -901.655 2.58643e+08 -8.62162e+07 2.58645e+08
400 0.4 0.004 -0.0016216 -0.00189681 -0.000289767 1.78303e-05 0.000116879 2.59245e+08 512.536 3036.88 962.846 -810.839 -901.392 2.59244e+08 -8.64163e+07 2.59245e+08
410 0.41 0.0041 -0.00166643 -0.00194978 -0.000301251 1.74703e-05 0.000120818 2.59837e+08 511.622 3035.48 959.005 -812.424 -901.049 2.59835e+08 -8.66134e+07 2.59837e+08
420 0.42 0.0042 -0.00171129 -0.00200271 -0.000312702 1.70784e-05 0.000124684 2.60419e+08 510.639 3034.09 955.298 -813.917 -900.635 2.60418e+08 -8.68076e+07 2.60419e+08
430 0.43 0.0043 -0.00175619 -0.00205558 -0.000324119 1.6659e-05 0.000128477 2.60994e+08 509.605 3032.72 951.717 -815.33 -900.16 2.60992e+08 -8.69993e+07 2.60994e+08
440 0.44 0.0044 -0.00180111 -0.00210841 -0.000335501 1.62161e-05 0.0001322 2.61562e+08 508.535 3031.37 948.257 -816.674 -899.632 2.6156e+08 -8.71886e+07 2.61562e+08
450 0.45 0.0045 -0.00184607 -0.00216119 -0.000346846 1.57537e-05 0.000135856 2.62124e+08 507.442 3030.02 944.91 -817.958 -899.061 2.62122e+08 -8.73757e+07 2.62124e+08
460 0.46 0.0046 -0.00189105 -0.00221393 -0.000358152 1.52754e-05 0.000139445 2.62679e+08 506.337 3028.7 941.673 -819.189 -898.452 2.62677e+08 -8.75609e+07 2.62679e+08
470 0.47 0.0047 -0.00193606 -0.00226662 -0.000369419 1.47843e-05 0.000142971 2.63229e+08 505.232 3027.4 938.539 -820.375 -897.812 2.63227e+08 -8.77443e+07 2.63229e+08
480 0.48 0.0048 -0.00198109 -0.00231927 -0.000380644 1.42837e-05 0.000146433 2.63774e+08 504.133 3026.12 935.506 -821.52 -897.148 2.63772e+08 -8.79259e+07 2.63774e+08
490 0.49 0.0049 -0.00202614 -0.00237187 -0.000391828 1.37763e-05 0.000149835 2.64314e+08 503.049 3024.86 932.569 -822.63 -896.463 2.64313e+08 -8.81059e+07 2.64314e+08
500 0.5 0.005 -0.00207122 -0.00242442 -0.00040297 1.32646e-05 0.000153177 2.6485e+08 501.985 3023.63 929.724 -823.707 -895.763 2.64848e+08 -8.82845e+07 2.6485e+08
510 0.51 0.0051 -0.00211632 -0.00247694 -0.000414068 1.27512e-05 0.000156461 2.65382e+08 500.947 3022.42 926.969 -824.755 -895.05 2.6538e+08 -8.84617e+07 2.65382e+08
520 0.52 0.0052 -0.00216144 -0.00252941 -0.000425122 1.2238e-05 0.000159689 2.65909e+08 499.939 3021.24 924.299 -825.776 -894.328 2.65908e+08 -8.86376e+07 2.65909e+08
530 0.53 0.0053 -0.00220658 -0.00258184 -0.000436131 1.17269e-05 0.000162861 2.66433e+08 498.964 3020.1 921.714 -826.772 -893.6 2.66432e+08 -8.88123e+07 2.66433e+08
540 0.54 0.0054 -0.00225173 -0.00263423 -0.000447095 1.12199e-05 0.00016598 2.66954e+08 498.026 3018.98 919.209 -827.745 -892.869 2.66952e+08 -8.89858e+07 2.66954e+08
550 0.55 0.0055 -0.00229691 -0.00268657 -0.000458013 1.07183e-05 0.000169047 2.67471e+08 497.127 3017.89 916.783 -828.696 -892.135 2.67469e+08 -8.91582e+07 2.67471e+08
560 0.56 0.0056 -0.0023421 -0.00273888 -0.000468886 1.02236e-05 0.000172063 2.67985e+08 496.268 3016.84 914.432 -829.625 -891.401 2.67984e+08 -8.93296e+07 2.67985e+08
570 0.57 0.0057 -0.0023873 -0.00279115 -0.000479713 9.73702e-06 0.00017503 2.68497e+08 495.452 3015.82 912.156 -830.534 -890.668 2.68495e+08 -8.95e+07 2.68497e+08
580 0.58 0.0058 -0.00243253 -0.00284337 -0.000490494 9.25965e-06 0.000177948 2.69005e+08 494.679 3014.84 909.951 -831.423 -889.937 2.69003e+08 -8.96695e+07 2.69005e+08
590 0.59 0.0059 -0.00247776 -0.00289556 -0.000501228 8.79245e-06 0.00018082 2.69511e+08 493.95 3013.89 907.815 -832.293 -889.209 2.69509e+08 -8.98381e+07 2.69511e+08
600 0.6 0.006 -0.00252301 -0.00294771 -0.000511916 8.33628e-06 0.000183646 2.70014e+08 493.266 3012.98 905.747 -833.144 -888.485 2.70012e+08 -9.00058e+07 2.70014e+08
610 0.61 0.0061 -0.00256827 -0.00299982 -0.000522557 7.89185e-06 0.000186428 2.70515e+08 492.627 3012.1 903.744 -833.976 -887.764 2.70513e+08 -9.01728e+07 2.70515e+08
620 0.62 0.0062 -0.00261355 -0.0030519 -0.000533152 7.45981e-06 0.000189167 2.71013e+08 492.032 3011.27 901.804 -834.789 -887.048 2.71012e+08 -9.0339e+07 2.71013e+08
