volume_nm3,volume_voxels,aspect_ratio,sphericity,equiv_diameter_nm,nearest_neighbor_nm
9.513990000000000000e+08,3.523700000000000000e+04,1.653846153846153744e+00,2.058919519186019897e-03,1.220266501941252727e+03,8.379843034094086534e+02
1.246320000000000000e+08,4.616000000000000000e+03,3.625000000000000000e+00,5.310685955919325352e-04,6.197411218984195784e+02,7.849980451316430390e+02
2.586600000000000000e+07,9.580000000000000000e+02,3.500000000000000000e+00,1.861588825704529881e-04,3.669246457761811939e+02,4.681230405430255246e+02
8.375400000000000000e+07,3.102000000000000000e+03,8.199999999999999289e+00,4.074440221302211285e-04,5.428364209703463530e+02,6.047673950330120078e+02
4.411800000000000000e+07,1.634000000000000000e+03,3.500000000000000000e+00,2.657509467098861933e-04,4.384018700552526298e+02,6.377020819912846719e+02
1.944270000000000000e+08,7.201000000000000000e+03,2.533333333333333215e+00,7.143350667320191860e-04,7.187634494427503569e+02,4.358834144765171459e+02
2.905200000000000000e+07,1.076000000000000000e+03,5.000000000000000000e+00,2.011476462939754128e-04,3.814103474699696221e+02,5.034685203069760746e+02
1.050030000000000000e+08,3.889000000000000000e+03,2.200000000000000178e+00,4.737312847282737494e-04,5.853303297888903671e+02,6.470645369964806832e+02
3.193290000000000000e+08,1.182700000000000000e+04,1.333333333333333259e+00,9.943894110620021820e-04,8.480339639961320017e+02,7.449921891779636098e+02
2.652210000000000000e+08,9.823000000000000000e+03,1.250000000000000000e+00,8.786235703155398369e-04,7.971433521899449488e+02,6.150274112163633617e+02
5.681070000000000000e+08,2.104100000000000000e+04,1.259259259259259300e+00,1.459993771277368069e-03,1.027567845836274728e+03,7.885076343310349785e+02
3.023460000000000000e+08,1.119800000000000000e+04,1.705882352941176405e+00,9.588126558810472488e-04,8.327255083645118248e+02,7.003761889730709527e+02
2.615490000000000000e+08,9.687000000000000000e+03,1.045454545454545414e+00,8.704949868842959404e-04,7.934474106502251516e+02,4.777551104692919353e+02
1.303560000000000000e+08,4.828000000000000000e+03,1.250000000000000000e+00,5.472069606184959412e-04,6.290871310218343524e+02,5.854256112021296303e+02
1.565730000000000000e+08,5.799000000000000000e+03,1.312500000000000000e+00,6.183136720210313797e-04,6.687124622459917873e+02,5.993345541284739966e+02
1.576800000000000000e+07,5.840000000000000000e+02,1.000000000000000000e+01,1.338387810392305255e-04,3.111186146532240286e+02,4.777551104692919353e+02
3.429810000000000000e+08,1.270300000000000000e+04,1.125000000000000000e+00,1.042903983034193516e-03,8.684746506918551177e+02,6.822177695630426797e+02
5.316300000000000000e+07,1.969000000000000000e+03,2.857142857142857206e+00,3.009335196111351252e-04,4.665200204546783880e+02,3.985261071790027358e+02
3.249990000000000000e+08,1.203700000000000000e+04,1.136363636363636465e+00,1.006125705316662788e-03,8.530237718119540204e+02,7.660183251544689256e+02
2.796390000000000000e+08,1.035700000000000000e+04,1.136363636363636465e+00,9.101844043470919132e-04,8.113340560466469924e+02,6.530421606134484591e+02
