Time, Value
0, 3.858025e+14
0.0001, 3.858025e+14
0.0002, 3.858025e+14
0.0003, 3.858025e+14
0.0004, 3.858025e+14
0.0005, 3.858025e+14
0.0006, 3.858025e+14
0.0007, 3.858029e+14
0.0008, 3.858042e+14
0.0009, 3.858087e+14
0.001, 3.858220e+14
0.0011, 3.858570e+14
0.0012, 3.859366e+14
0.0013, 3.860942e+14
0.0014, 3.863635e+14
0.0015, 3.867655e+14
0.0016, 3.872991e+14
0.0017, 3.879449e+14
0.0018, 3.886755e+14
0.0019, 3.894656e+14
0.002, 3.902960e+14
0.0021, 3.911542e+14
0.0022, 3.920323e+14
0.0023, 3.929254e+14
0.0024, 3.938305e+14
0.0025, 3.947454e+14
0.0026, 3.956688e+14
0.0027, 3.965997e+14
0.0028, 3.975373e+14
0.0029, 3.984808e+14
0.003, 3.994297e+14
0.0031, 4.003835e+14
0.0032, 4.013418e+14
0.0033, 4.023043e+14
0.0034, 4.032706e+14
0.0035, 4.042405e+14
0.0036, 4.052137e+14
0.0037, 4.061900e+14
0.0038, 4.071692e+14
0.0039, 4.081511e+14
0.004, 4.091356e+14
0.0041, 4.101225e+14
0.0042, 4.111117e+14
0.0043, 4.121031e+14
0.0044, 4.130967e+14
0.0045, 4.140922e+14
0.0046, 4.150897e+14
0.0047, 4.160890e+14
0.0048, 4.170901e+14
0.0049, 4.180930e+14
0.005, 4.190975e+14
0.0051, 4.201036e+14
0.0052, 4.211113e+14
0.0053, 4.221206e+14
0.0054, 4.231313e+14
0.0055, 4.241434e+14
0.0056, 4.251569e+14
0.0057, 4.261719e+14
0.0058, 4.271881e+14
0.0059, 4.282057e+14
0.006, 4.292245e+14
0.0061, 4.302446e+14
0.0062, 4.312659e+14
0.0063, 4.322884e+14
0.0064, 4.333121e+14
0.0065, 4.343370e+14
0.0066, 4.353630e+14
0.0067, 4.363901e+14
0.0068, 4.374183e+14
0.0069, 4.384475e+14
0.007, 4.394779e+14
0.0071, 4.405093e+14
0.0072, 4.415417e+14
0.0073, 4.425751e+14
0.0074, 4.436095e+14
0.0075, 4.446450e+14
0.0076, 4.456813e+14
0.0077, 4.467187e+14
0.0078, 4.477570e+14
0.0079, 4.487962e+14
0.008, 4.498363e+14
0.0081, 4.508774e+14
0.0082, 4.519193e+14
0.0083, 4.529621e+14
0.0084, 4.540059e+14
